"boat_type","charter_id","boat_model","year","length","draft","beam","fuel_capacity","cabins","nr_guests","country_name","region"
sailboat,1426,Cruiser 34,2009,10.70,1.90,3.60,150,2,6,Germany,North & Baltic sea
sailboat,1551,"56.1",2009,17.00,2.30,5.10,750,5,12,Greece,Mediterranean
catamaran,1219,"620",2019,18.90,1.55,10.00,2650,5,10,Greece,Mediterranean
sailboat,2233,"455 Grand Large",2005,13.76,2.06,4.30,250,4,9,Finland,North & Baltic sea
sailboat,778,"53",2010,16.06,2.28,4.77,240,6,12,Italy,Mediterranean
sailboat,1708,Oceanis 54,2009,16.70,,4.90,473,5,10,Greece,Mediterranean
sailboat,2310,Sun Odyssey 36 i,2009,10.98,1.95,3.60,129,2,4,Virgin Islands (BVI Caribbean),Caribbean
sailboat,3977,"34 Wind",2012,10.23,1.75,3.45,130,2,6,Brazil,ROW
catamaran,1383,"52",2019,15.84,8.74,1.55,992,6,10,Greece,Mediterranean
sailboat,67,Cruiser 46,2015,14.27,2.10,4.35,210,4,8,Croatia,Mediterranean
catamaran,707,"4.5",2017,13.60,1.25,7.42,800,4,11,Croatia,Mediterranean
motorboat,1135,Manhattan 50,2008,15.85,0.00,4.62,,3,6,Croatia,Mediterranean
sailboat,657,Cruiser 42,2005,12.99,2.10,3.99,210,3,7,Greece,Mediterranean
sailboat,657,Sun Odyssey 469,2016,14.05,2.24,4.49,240,4,9,Greece,Mediterranean
sailboat,116,Sun Odyssey 479,2018,14.43,2.24,4.49,240,4,10,Greece,Mediterranean
sailboat,1421,"450",2011,13.60,2.05,4.37,230,3,8,Croatia,Mediterranean
sailboat,48,Cruiser 42,2008,12.99,1.80,3.99,210,3,8,Turkey,Mediterranean
motorboat,2168,Gangaro MU 13,2006,12.80,1.35,3.90,800,3,7,Croatia,Mediterranean
sailboat,722,Cruiser 40,2011,12.35,2.05,3.96,210,3,8,Croatia,Mediterranean
sailboat,824,Cruiser 46,2015,14.30,2.10,4.35,210,4,9,Greece,Mediterranean
sailboat,3011,Cruiser 51,2016,14.99,2.25,4.67,280,5,10,Greece,Mediterranean
